Boston Celtics|The Boston Celtics are an American professional basketball team based in Boston, Massachusetts.
Mumbai Indians|Mumbai Indians (abbreviated as MI) is a franchise cricket team representing the city of Mumbai, Maharashtra, in the Indian Premier League (IPL).
Real Madrid Basket|Real Madrid Baloncesto (English: Real Madrid Basketball) is a Spanish professional basketball team that was founded in 1931, as a division of the Real Madrid C.F. multi sports club.
Troll wwe|Unexpected John Cena, also known as simply Unexpected Cena or And His Name is John Cena, refers to an Internet meme and a form of trolling involving videos that first garnered popularity on video-sharing services such as Vine and YouTube in the summer of 2015.
Kings XI Punjab|The Kings XI Punjab (abbreviated as KXIP) are a franchise cricket team based in Mohali, Punjab, that plays in the Indian Premier League.
Manchester United Fans|Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football.
Tottenham Hotspur|Tottenham Hotspur Football Club, commonly referred to simply as Tottenham () or Spurs, is an English football club located in Tottenham, Haringey, London, that competes in the Premier League.
Norwich City FC|Norwich City Football Club (also known as The Canaries or City) is an English professional football club based in Norwich, Norfolk.
SunRisers Hyderabad|The SunRisers Hyderabad (often abbreviated as SRH) are a franchise cricket team based in Hyderabad, Telangana, that plays in the Indian Premier League (IPL).
I am Obsessed with Manchester United|I Am Playr is a first person association football video game with social network elements.
One Love Arsenal|Roy Harper is a fictional superhero appearing in American comic books published by DC Comics.
Los Angeles Lakers|The Los Angeles Lakers are an American professional basketball team based in Los Angeles.
Swansea City Football Club|Swansea City Association Football Club (Welsh: Clwb Pêl-droed Dinas Abertawe) is a Welsh professional football club based in Swansea, Wales, that plays in the Premier League, the top tier of English football.
Fulham FC Official|Fulham Football Club () is a professional association football club based in Fulham, Greater London, England.
Invictus Gaming -iG|The International 2014 was the fourth annual edition of The International, an eSports Dota 2 championship tournament, which took place at the KeyArena in Seattle.
The Netherlands football team|The Netherlands national football team (Dutch: Het Nederlands Elftal) represents the Netherlands in international football.
Sportskeeda|Sportskeeda is an all-sports website, with multinational audience and writers.
Rajasthan Royal|The Rajasthan Royals (often abbreviated as RR) is a cricket team in the Indian Premier League from the city of Jaipur, suspended till the 2017 season.
Kolkata Knight Riders|The Kolkata Knight Riders (also known by the acronym KKR) are a franchise cricket team representing the city of Kolkata in the Indian Premier League.
Indian Cricket Team|The India national cricket team, also known as Team India and Men in Blue, represents India in international cricket.
Delhi Daredevils|The Delhi Daredevils (often abbreviated as DD) are a franchise cricket team representing the city of Delhi in the Indian Premier League (IPL).
Pune Warriors|Pune Warriors India was a franchise cricket team that represented the city of Pune in the Indian Premier League.
Mumbai Indians|Mumbai Indians (abbreviated as MI) is a franchise cricket team representing the city of Mumbai, Maharashtra, in the Indian Premier League (IPL).
Chennai Super Kings|The Chennai Super Kings (abbreviated as CSK) are a franchise cricket team based in Chennai, Tamil Nadu (India), which plays in the Indian Premier League (IPL).
